calories	protein	fat	sodium	fiber	carbo	sugars	potass	vitamins	shelf	weight	cups	rating	name
70	4	1	130	10	5	6	280	25	3	1	0.33	68.402973	100%_Bran
120	3	5	15	2	8	8	135	0	3	1	1	33.983679	100%_Natural_Bran
70	4	1	260	9	7	5	320	25	3	1	0.33	59.425505	All-Bran
50	4	0	140	14	8	0	330	25	3	1	0.5	93.704912	All-Bran_with_Extra_Fiber
110	2	2	200	1	14	8	-1	25	3	1	0.75	34.384843	Almond_Delight
110	2	2	180	1.5	10.5	10	70	25	1	1	0.75	29.509541	Apple_Cinnamon_Cheerios
110	2	0	125	1	11	14	30	25	2	1	1	33.174094	Apple_Jacks
130	3	2	210	2	18	8	100	25	3	1.33	0.75	37.038562	Basic_4
90	2	1	200	4	15	6	125	25	1	1	0.67	49.120253	Bran_Chex
90	3	0	210	5	13	5	190	25	3	1	0.67	53.313813	Bran_Flakes
120	1	2	220	0	12	12	35	25	2	1	0.75	18.042851	Cap'n'Crunch
110	6	2	290	2	17	1	105	25	1	1	1.25	50.764999	Cheerios
120	1	3	210	0	13	9	45	25	2	1	0.75	19.823573	Cinnamon_Toast_Crunch
110	3	2	140	2	13	7	105	25	3	1	0.5	40.400208	Clusters
110	1	1	180	0	12	13	55	25	2	1	1	22.736446	Cocoa_Puffs
110	2	0	280	0	22	3	25	25	1	1	1	41.445019	Corn_Chex
100	2	0	290	1	21	2	35	25	1	1	1	45.863324	Corn_Flakes
110	1	0	90	1	13	12	20	25	2	1	1	35.782791	Corn_Pops
110	1	1	180	0	12	13	65	25	2	1	1	22.396513	Count_Chocula
110	3	3	140	4	10	7	160	25	3	1	0.5	40.448772	Cracklin'_Oat_Bran
100	3	0	80	1	21	0	-1	0	2	1	1	64.533816	Cream_of_Wheat_(Quick)
110	2	0	220	1	21	3	30	25	3	1	1	46.895644	Crispix
100	2	1	140	2	11	10	120	25	3	1	0.75	36.176196	Crispy_Wheat_&_Raisins
100	2	0	190	1	18	5	80	25	3	1	0.75	44.330856	Double_Chex
110	2	1	125	1	11	13	30	25	2	1	1	32.207582	Froot_Loops
110	1	0	200	1	14	11	25	25	1	1	0.75	31.435973	Frosted_Flakes
100	3	0	0	3	14	7	100	25	2	1	0.8	58.345141	Frosted_Mini-Wheats
120	3	2	160	5	12	10	200	25	3	1.25	0.67	40.917047	Fruit_&_Fibre_Dates_Walnuts_and_Oats
120	3	0	240	5	14	12	190	25	3	1.33	0.67	41.015492	Fruitful_Bran
110	1	1	135	0	13	12	25	25	2	1	0.75	28.025765	Fruity_Pebbles
100	2	0	45	0	11	15	40	25	1	1	0.88	35.252444	Golden_Crisp
110	1	1	280	0	15	9	45	25	2	1	0.75	23.804043	Golden_Grahams
100	3	1	140	3	15	5	85	25	3	1	0.88	52.076897	Grape_Nuts_Flakes
110	3	0	170	3	17	3	90	25	3	1	0.25	53.371007	Grape-Nuts
120	3	3	75	3	13	4	100	25	3	1	0.33	45.811716	Great_Grains_Pecan
120	1	2	220	1	12	11	45	25	2	1	1	21.871292	Honey_Graham_Ohs
110	3	1	250	1.5	11.5	10	90	25	1	1	0.75	31.072217	Honey_Nut_Cheerios
110	1	0	180	0	14	11	35	25	1	1	1.33	28.742414	Honey-comb
110	2	1	170	1	17	6	60	100	3	1	1	36.523683	Just_Right_Crunchy__Nuggets
140	3	1	170	2	20	9	95	100	3	1.3	0.75	36.471512	Just_Right_Fruit_&_Nut
110	2	1	260	0	21	3	40	25	2	1	1.5	39.241114	Kix
100	4	2	150	2	12	6	95	25	2	1	0.67	45.328074	Life
110	2	1	180	0	12	12	55	25	2	1	1	26.734515	Lucky_Charms
100	4	1	0	0	16	3	95	25	2	1	1	54.850917	Maypo
150	4	3	95	3	16	11	170	25	3	1	1	37.136863	Muesli_Raisins_Dates_&_Almonds
150	4	3	150	3	16	11	170	25	3	1	1	34.139765	Muesli_Raisins_Peaches_&_Pecans
160	3	2	150	3	17	13	160	25	3	1.5	0.67	30.313351	Mueslix_Crispy_Blend
100	2	1	220	2	15	6	90	25	1	1	1	40.105965	Multi-Grain_Cheerios
120	2	1	190	0	15	9	40	25	2	1	0.67	29.924285	Nut&Honey_Crunch
140	3	2	220	3	21	7	130	25	3	1.33	0.67	40.69232	Nutri-Grain_Almond-Raisin
90	3	0	170	3	18	2	90	25	3	1	1	59.642837	Nutri-grain_Wheat
130	3	2	170	1.5	13.5	10	120	25	3	1.25	0.5	30.450843	Oatmeal_Raisin_Crisp
120	3	1	200	6	11	14	260	25	3	1.33	0.67	37.840594	Post_Nat._Raisin_Bran
100	3	0	320	1	20	3	45	100	3	1	1	41.50354	Product_19
50	1	0	0	0	13	0	15	0	3	0.5	1	60.756112	Puffed_Rice
50	2	0	0	1	10	0	50	0	3	0.5	1	63.005645	Puffed_Wheat
100	4	1	135	2	14	6	110	25	3	1	0.5	49.511874	Quaker_Oat_Squares
100	5	2	0	2.7	-1	-1	110	0	1	1	0.67	50.828392	Quaker_Oatmeal
120	3	1	210	5	14	12	240	25	2	1.33	0.75	39.259197	Raisin_Bran
