calories	fat	sugars	rating	name
70	1	6	68.403	100%_Bran_Label_1
120	5	8	33.9837	100%_Natural_Bran_Label_0
70	1	5	59.4255	All-Bran_Label_1
50	0	0	93.7049	All-Bran_with_Extra_Fiber_Label_1
110	2	8	34.3848	Almond_Delight_Label_0
110	2	10	29.5095	Apple_Cinnamon_Cheerios_Label_0
110	0	14	33.1741	Apple_Jacks_Label_0
130	2	8	37.0386	Basic_4_Label_0
90	1	6	49.1203	Bran_Chex_Label_1
90	0	5	53.3138	Bran_Flakes_Label_1
120	2	12	18.0429	Cap'n'Crunch_Label_0
110	2	1	50.765	Cheerios_Label_0
120	3	9	19.8236	Cinnamon_Toast_Crunch_Label_0
110	2	7	40.4002	Clusters_Label_0
110	1	13	22.7364	Cocoa_Puffs_Label_0
110	0	3	41.445	Corn_Chex_Label_0
100	0	2	45.8633	Corn_Flakes_Label_1
110	0	12	35.7828	Corn_Pops_Label_0
110	1	13	22.3965	Count_Chocula_Label_0
110	3	7	40.4488	Cracklin'_Oat_Bran_Label_0
100	0	0	64.5338	Cream_of_Wheat_(Quick)_Label_1
110	0	3	46.8956	Crispix_Label_0
100	1	10	36.1762	Crispy_Wheat_&_Raisins_Label_0
100	0	5	44.3309	Double_Chex_Label_1
110	1	13	32.2076	Froot_Loops_Label_0
110	0	11	31.436	Frosted_Flakes_Label_0
100	0	7	58.3451	Frosted_Mini-Wheats_Label_1
120	2	10	40.917	Fruit_&_Fibre_Dates_Walnuts_and_Oats_Label_0
120	0	12	41.0155	Fruitful_Bran_Label_0
110	1	12	28.0258	Fruity_Pebbles_Label_0
100	0	15	35.2524	Golden_Crisp_Label_0
110	1	9	23.804	Golden_Grahams_Label_0
100	1	5	52.0769	Grape_Nuts_Flakes_Label_1
110	0	3	53.371	Grape-Nuts_Label_1
120	3	4	45.8117	Great_Grains_Pecan_Label_0
120	2	11	21.8713	Honey_Graham_Ohs_Label_0
110	1	10	31.0722	Honey_Nut_Cheerios_Label_0
110	0	11	28.7424	Honey-comb_Label_0
110	1	6	36.5237	Just_Right_Crunchy__Nuggets_Label_0
140	1	9	36.4715	Just_Right_Fruit_&_Nut_Label_0
110	1	3	39.2411	Kix_Label_0
100	2	6	45.3281	Life_Label_1
110	1	12	26.7345	Lucky_Charms_Label_0
100	1	3	54.8509	Maypo_Label_1
150	3	11	37.1369	Muesli_Raisins_Dates_&_Almonds_Label_0
150	3	11	34.1398	Muesli_Raisins_Peaches_&_Pecans_Label_0
160	2	13	30.3134	Mueslix_Crispy_Blend_Label_0
100	1	6	40.106	Multi-Grain_Cheerios_Label_0
120	1	9	29.9243	Nut&Honey_Crunch_Label_0
140	2	7	40.6923	Nutri-Grain_Almond-Raisin_Label_0
90	0	2	59.6428	Nutri-grain_Wheat_Label_1
130	2	10	30.4508	Oatmeal_Raisin_Crisp_Label_0
120	1	14	37.8406	Post_Nat._Raisin_Bran_Label_0
100	0	3	41.5035	Product_19_Label_1
50	0	0	60.7561	Puffed_Rice_Label_1
50	0	0	63.0056	Puffed_Wheat_Label_1
100	1	6	49.5119	Quaker_Oat_Squares_Label_1
100	2	-1	50.8284	Quaker_Oatmeal_Label_1
120	1	12	39.2592	Raisin_Bran_Label_0
100	2	8	39.7034	Raisin_Nut_Bran_Label_0
90	0	6	55.3331	Raisin_Squares_Label_1
110	0	2	41.9989	Rice_Chex_Label_0
110	0	3	40.5602	Rice_Krispies_Label_0
80	0	0	68.2359	Shredded_Wheat_Label_1
90	0	0	74.4729	Shredded_Wheat_'n'Bran_Label_1
90	0	0	72.8018	Shredded_Wheat_spoon_size_Label_1
110	1	15	31.2301	Smacks_Label_0
110	0	3	53.1313	Special_K_Label_1
90	0	5	59.364	Strawberry_Fruit_Wheats_Label_1
110	1	3	38.8397	Total_Corn_Flakes_Label_0
140	1	14	28.5928	Total_Raisin_Bran_Label_0
100	1	3	46.6588	Total_Whole_Grain_Label_1
110	1	3	39.1062	Triples_Label_0
110	1	12	27.7533	Trix_Label_0
100	1	3	49.7874	Wheat_Chex_Label_1
100	1	3	51.5922	Wheaties_Label_1
110	1	8	36.1876	Wheaties_Honey_Gold_Label_0
